店號,店名,電話,地址
284053,哨船頭,02-24288846,基隆市中正區義一路83號1樓
280822,基隆南站,02-24258526,基隆市仁愛區港西街5號1樓
154840,武訓,02-24329441,基隆市安樂區武訓街102號1樓
187530,麥金,02-34011778,基隆市安樂區基金三路80號80-1號1樓
263713,新大慶,02-24367046,基隆市中山區中和路168巷7弄13號15號1樓
278450,極品,02-24256943,基隆市仁愛區仁三路19號21號1樓2樓
277712,新長基,02-24336241,基隆市安樂區安樂路二段161號
250728,樂添,02-24347940,基隆市安樂區樂利二街62巷291號2樓292號293號1樓
279914,瑞金,02-24344408,基隆市安樂區基金三路75號75之1號1樓
127114,新五福,02-24529901,基隆市七堵區福五街80號82號1樓
132415,正光,02-24564983,基隆市七堵區自治街9號11號
189075,永富,02-24557494,基隆市七堵區永富路99號101號103號1樓
257604,崇禮,02-24554821,基隆市七堵區永富路55號
171007,七堵,02-24562044,基隆市七堵區明德一路174號
251662,和豐,02-24698861,基隆市中正區新豐街203號1樓
279006,北寧,02-24691825,基隆市中正區北寧路382號382-5號
261049,海洋,02-24637174,基隆市中正區中正路609號1樓
236696,愛六,02-24265641,基隆市仁愛區仁一路281號1樓
171155,新福成,02-24274348,基隆市仁愛區仁二路84號86號1樓
112879,碇內,02-24586443,基隆市暖暖區源遠路158號160號
138697,新福樂,02-24683607,基隆市信義區深溪路43號45號1樓
194077,萬濠,02-85029120,台北市中山區敬業四路1號1樓
214526,基河,02-85029131,台北市中山區樂群二路206號1樓
183996,瑞景,02-87513436,台北市內湖區瑞光路583巷30號1樓
159454,瑞東,02-87514830,台北市內湖區洲子街102號1樓
197043,墘都,02-87977260,台北市內湖區內湖路一段669號
239628,里昂,02-87514839,台北市內湖區瑞光路406號1樓
883223,松饒,02-27475146,台北市松山區慈祐里八德路四段767號769號
230355,松德,02-27470930,台北市松山區八德路四段755號1樓
263539,新饒河,02-27632434,台北市松山區八德路四段697號1樓
210694,松祐,02-27460125,台北市松山區饒河街90號1樓
280729,松鑽,02-27457876,台北市松山區八德路四段686號
279877,福中,02-27266631,台北市信義區福德街159號161號1樓
279475,留公,02-27591442,台北市信義區福德街247號249號
251639,港德,02-27857774,台北市南港區福德街373巷25號1樓
195704,金聯發,02-27941161,台北市內湖區金龍路137號1樓
277620,金龍,02-87917475,台北市內湖區內湖路二段407號409號411號1樓
900636,德福,02-27943371,台北市內湖區成功路四段30巷27號29號31號
239695,達人,02-27945695,台北市內湖區內湖路二段249號251號
284721,紫陽,02-87512875,台北市內湖區紫陽里陽光街159號
230207,銳陽,02-27996570,台北市內湖區文德路22巷44弄6號8號1樓
235051,鑫江南,02-87513943,台北市內湖區江南街10號1樓
241001,港鑫,02-26270994,台北市內湖區內湖路一段737巷35號
252883,富港,02-87512984,台北市內湖區港墘路46號48號1樓
196464,港華,02-27997851,台北市內湖區港華街46號1樓
255033,環湖,02-87974566,台北市內湖區環山路一段70號
136222,金湖,02-26583308,台北市內湖區文湖街83號85號1樓
913621,馨瑩,02-26574995,台北市內湖區內湖路一段91巷2號
254694,美麗華,02-85093170,台北市中山區北安路839-1號
250038,名寶,02-87914208,台北市內湖區民權東路六段180巷17號19號
185888,彩龍,02-87902990,台北市內湖區行善路35號1F
241942,行美,02-87914060,台北市內湖區行善路191號193號
283430,康雲,02-27922754,台北市內湖區康寧路一段160號
234483,紫雲,02-27932947,台北市內湖區康寧路一段263號265號1樓
275358,紫新,02-27949151,台北市內湖區康寧路一段34號
249212,金雲,02-27945804,台北市內湖區星雲街136號
253196,成湖,02-87910570,台北市內湖區成功路四段346號
237404,金德,02-87923496,台北市內湖區金龍路5號1F
261810,鑫文德,02-87977622,台北市內湖區文德路99號1樓
238511,德東,02-28342488,台北市士林區德行東路262號1樓
128807,德行,02-28341724,台北市士林區忠誠路二段7號1樓
258032,德寶,02-28315462,台北市士林區德行東路109巷106號
236113,士東,02-28314732,台北市士林區士東路42號1樓
155223,蘭雅,02-28345909,台北市士林區德行東路6之2號1樓
251293,德誠,02-28344429,台北市士林區德行東路106號108號1樓
275233,鑫成,02-28346370,台北市士林區至誠路二段82號1樓
281205,至誠,02-28359740,台北市士林區至誠路二段31號
890900,福志,02-88663358,台北市士林區雨農路25號
214607,擎天崗,02-28613652,台北市北投區湖山路一段12號
282426,文大,02-28623443,台北市士林區格致路57號
279084,東吳,02-28835820,台北市士林區臨溪路70號
960513,至善天下,02-28830232,台北市士林區至善路二段264號
258113,中山大直,02-25337026,台北市中山區大直街13號1樓
185051,新大直,02-25329890,台北市中山區北安路621巷48號
929006,欣旺,02-25321290,台北市中山區北安路602之1號1樓604號1樓606號1樓
215943,明美,02-85011701,台北市中山區敬業一路130號1樓
265775,樂明,02-85015183,台北市中山區敬業一路56號
160247,大永,02-85098737,台北市中山區明水路581巷15號1樓
229355,永明,02-25329445,台北市中山區明水路397巷7弄41號1樓
978628,林坊,02-27893961,台北市南港區東新街80巷1號108巷2弄30號
188326,雄強,02-26516017,台北市南港區忠孝東路六段276號
241816,金鑽,02-25418601,台北市中山區民權西路56號1樓
265203,長城,02-25233982,台北市中山區中山北路二段56號1樓
240019,晶鑽,02-25115092,台北市中山區中山北路二段39巷8號1樓
209904,森泰,02-25681096,台北市中山區林森北路358號360號
259976,吉德,02-25792722,台北市松山區八德路三段74巷43號1樓
250359,健一,02-25149369,台北市松山區健康路11號
214799,新復勢,02-25785350,台北市松山區八德路三段200號202號1樓
283980,港興,02-26516380,台北市南港區興華路117號119號121號123號125號
896458,耀港,02-27881332,台北市南港區研究院路一段99號1樓之14
882792,晏揚,02-26345565,台北市內湖區康寧路三段99巷14號康寧路三段99巷12弄2號
283500,康寧,02-26328942,台北市內湖區康寧路三段26巷1號
170864,鵬馳,02-27833783,台北市南港區南港路三段49-1號
138815,聯成,02-27893542,台北市南港區聯成里昆陽街150-1號150-3號
148100,向揚,02-27831061,台北市南港區向陽路166號1樓
209269,重陽,02-27834391,台北市南港區重陽路179號181號1樓
279970,港寰,02-27851065,台北市南港區重陽路336號1樓2樓
277653,佳樂,02-26533511,台北市南港區南港路一段303號305號307號1樓
241584,馥樺,02-26521390,台北市南港區三重路23號1樓
185822,研究,02-26511171,台北市南港區研究院路二段14號
277387,胡適,02-26512201,台北市南港區研究院路二段94號96號98巷1號
240237,庄研,02-26539357,台北市南港區研究院路二段152號1樓
142870,華技,02-27835010,台北市南港區研究院路三段72號74號1樓
171421,統威,02-27481762,台北市松山區東興路13-1號1樓15巷3號1樓
188681,松民,02-27480323,台北市松山區三民路10號
135610,福源,02-27649672,台北市松山區新東街60巷16號18號1樓
187806,征唐,02-27616499,台北市松山區新東街41-7號
281995,征東,02-27534174,台北市松山區新東街15巷1號
249935,延新,02-87873357,台北市松山區延壽街99號1樓
251352,鑫壽,02-27694858,台北市松山區延壽街323號
173988,延壽,02-27622884,台北市松山區延壽街422號
282910,民復,02-27479963,台北市松山區民生東路五段10號1樓
235855,東榮,02-37655187,台北市松山區民生東路五段71號1樓
215758,朝福,02-37652976,台北市松山區三民路115號
282507,敦巨,02-25454209,台北市松山區南京東路四段25號25之1號
273215,建龍,02-25167713,台北市中山區龍江路239號1樓
263757,錦龍,02-25080595,台北市中山區龍江路281-1號
216315,錦合,02-25040526,台北市中山區合江街117號
186559,國學,02-25068651,台北市中山區長春路182號
240754,國京,02-25075809,台北市中山區南京東路三段21號1樓
167260,吉鑫,02-25420316,台北市中山區南京東路二段11號1樓
971867,鑫東一,02-25815255,台北市中山區一江街11號13號
167466,福瀛,02-28239491,台北市北投區西安街二段345號1樓
279095,安遠,02-28261043,台北市北投區致遠二路149號
230816,榮陽,02-28212601,台北市北投區西安街一段345號1樓
170071,東華,02-28262900,台北市北投區裕民一路40巷1號
264130,商城,02-28218731,台北市北投區裕民六路111號113號1樓
962483,石捷,02-28208526,台北市北投區石牌路二段8號
186526,行義,02-28728452,台北市北投區石牌路二段348巷1號3號1樓
236401,立陽,02-28213079,台北市北投區立農街二段299號1樓
960753,富邦,02-28214947,台北市北投區實踐街22號24號
280589,薇閣,02-28944880,台北市北投區中央北路一段108號
993649,和信醫,02-28936831,台北市北投區立德路125號1樓
851721,一德,02-28984000,台北市北投區中央北路四段513號
283223,政戰,02-28914209,台北市北投區中央北路二段15號17號
187286,西安,02-28949299,台北市北投區大興街44號46號1樓
279811,北投奇岩,02-28919349,台北市北投區中央南路二段31號1樓
274780,光中,02-28971043,台北市北投區光明路122號
238625,加賀屋,02-28941650,台北市北投區溫泉路73巷5號地下二樓之1
251477,泉源,02-28975244,台北市北投區泉源路30號地下一樓
278195,和業,02-28951924,台北市北投區中和街10號
239145,北投,02-28941151,台北市北投區中和街222號
280534,金和,02-28919043,台北市北投區中和街314號316號1樓
197205,雙全,02-28940338,台北市北投區中庸里大業路715-717號
252942,復興崗,02-28949719,台北市北投區中央北路二段68之2號68之3號
972321,鑫杭,02-23579224,台北市中正區杭州南路一段23號
252377,忠孝東,02-23225861,台北市中正區忠孝東路一段72號76號1樓
236618,紹興,02-23224595,台北市中正區紹興北街37號1樓
874252,華山,02-23214407,台北市中正區忠孝東路一段138號
252481,德金,02-23211677,台北市中正區八德路一段29號
963305,義村,02-27312912,台北市大安區忠孝東路三段160號
273846,懷生,02-27811473,台北市大安區忠孝東路三段248巷9號
232454,敦南,02-27115066,台北市大安區大安路一段83巷14號1樓
143253,頂好,02-87714781,台北市大安區仁愛路四段79號1號
255387,仁安,02-87732749,台北市大安區仁愛路四段27巷1號
241193,頂安,02-27787790,台北市大安區大安路一段67號1樓
282769,敦頂,02-27796271,台北市大安區敦化南路一段190巷10號1樓
906209,樂得,02-27401886,台北市松山區復興北路35號
148133,鑫安江,02-27774809,台北市中山區長安東路二段178號178-1號1樓
970749,鑫長安,02-25813841,台北市中山區長安東路一段53巷1之3號
170989,天津,02-25434306,台北市中山區天津街65號
209719,京旺,02-25239652,台北市中山區南京東路一段92號1樓
255686,圓武,02-25222464,台北市中山區吉林路24號之2一樓
254317,清愿,02-27729274,台北市松山區八德路二段439號
260862,市大,02-87710481,台北市松山區市民大道路四段105號
202017,康福,02-23956851,台北市大安區永康街12之2號1樓
166739,金華,02-23914326,台北市大安區金華街140號1樓
167950,東門,02-33224717,台北市大安區信義路二段198巷6號1樓
238500,恆安,02-23952535,台北市大安區永康街2巷12號1樓
921633,大信,02-27096471,台北市大安區信義路三段33號
195760,森美,02-27097500,台北市大安區信義路三段65號1樓
251271,花市,02-27552540,台北市大安區建國南路一段274號
959155,信中,02-27033810,台北市大安區信義路三段99號1樓
280213,信安,02-27048829,台北市大安區大安路一段218號
