店號,店名,縣巿,地址,電話
257604,崇禮,基隆市,七堵區永富路55號,02-24554821
189075,永富,基隆市,七堵區永富路99號101號103號1樓,02-24557494
132415,正光,基隆市,七堵區自治街9號11號,02-24564983
171007,七堵,基隆市,七堵區明德一路174號,02-24562044
263713,新大慶,基隆市,中山區中和路168巷7弄13號15號1樓,02-24367046
261049,海洋,基隆市,中正區中正路609號1樓,02-24637174
279006,北寧,基隆市,中正區北寧路382號382-5號,02-24691825
284053,哨船頭,基隆市,中正區義一路83號1樓,02-24288846
236696,愛六,基隆市,仁愛區仁一路281號1樓,02-24265641
273536,新仁二,基隆市,仁愛區仁二路11號13號1樓,02-24264807
171155,新福成,基隆市,仁愛區仁二路84號86號1樓,02-24274348
280822,基隆南站,基隆市,仁愛區港西街5號1樓,02-24258526
277712,新長基,基隆市,安樂區安樂路二段161號,02-24336241
154840,武訓,基隆市,安樂區武訓街102號1樓,02-24329441
279914,瑞金,基隆市,安樂區基金三路75號75之1號1樓,02-24344408
187530,麥金,基隆市,安樂區基金三路80號80-1號1樓,02-34011778
236113,士東,台北市,士林區士東路42號1樓,02-28314732
132574,新士林,台北市,士林區大東路123號125號1樓,02-28835732
278933,豫鋒,台北市,士林區大南路322號,02-28832762
187758,東洋,台北市,士林區中山北路七段14巷19號Ｂ1,02-28753409
236962,天裕,台北市,士林區中山北路七段156號1樓,02-28724419
216072,新忠誠,台北市,士林區中山北路六段18號20號1樓,02-28314978
171764,福榮,台北市,士林區中正路220號222號,02-28330676
957193,福捷,台北市,士林區中正路235巷14號,02-28839690
210823,齊德,台北市,士林區天母西路85號1樓2樓,02-28745680
174028,三玉,台北市,士林區天母東路88之1號1樓,02-28744580
129372,天美,台北市,士林區天母東路8巷96號98號,02-28762701
195900,珍饌,台北市,士林區文林路126號1樓,02-28839937
960513,至善天下,台北市,士林區至善路二段264號,02-28830232
281205,至誠,台北市,士林區至誠路二段31號,02-28359740
275233,鑫成,台北市,士林區至誠路二段82號1樓,02-28346370
276225,海光,台北市,士林區延平北路五段35號37號39號,02-28167812
265650,集鑫,台北市,士林區延平北路六段229號231號,02-28113784
128807,德行,台北市,士林區忠誠路二段7號1樓,02-28341724
185567,兒樂,台北市,士林區承德路五段55號,02-28348349
216692,鑫港,台北市,士林區後港街210號,02-28836276
266066,冬樂,台北市,士林區美崙街114號,02-28344625
282426,文大,台北市,士林區格致路57號,02-28623443
121127,承河,台北市,士林區基河路132號1樓,02-28817180
253288,豐基,台北市,士林區基河路368號370號,02-28344187
896160,福芝,台北市,士林區福國路94號,02-28358739
216119,芝山,台北市,士林區福華路126號1樓,02-28316143
251293,德誠,台北市,士林區德行東路106號108號1樓,02-28344429
258032,德寶,台北市,士林區德行東路109巷106號,02-28315462
238511,德東,台北市,士林區德行東路262號1樓,02-28342488
155223,蘭雅,台北市,士林區德行東路6之2號1樓,02-28345909
279084,東吳,台北市,士林區臨溪路70號,02-28835820
264897,民族西,台北市,大同區民族西路151號153號155號,02-25954841
190938,延埕,台北市,大同區延平北路二段159號161號,02-25520267
241861,涼州,台北市,大同區延平北路二段258號,02-25501438
238382,延龍,台北市,大同區延平北路四段16號18號1樓,02-25969446
962542,大龍,台北市,大同區昌吉街72號74號76號及蘭州街135號,02-25947220
143677,長峰,台北市,大同區長安西路45之2號47號1樓,02-25556859
239787,詠樂,台北市,大同區迪化街一段13號全棟,02-25559848
992967,酒泉,台北市,大同區重慶北路三段258、260、262號1樓,02-25959849
283544,哈蜜,台北市,大同區重慶北路三段309、311號1樓,02-25970450
166049,慶吉,台北市,大同區重慶北路三段47號49號1樓,02-25954240
120526,圓泉,台北市,大同區酒泉街25號27號1樓,02-25997457
996523,篷萊,台北市,大同區寧夏路131-1號,02-25539665
260840,慶寧,台北市,大同區寧夏路23號23之1號,02-25569881
891176,靜中,台北市,大同區寧夏路71號73號,02-25529387
280213,信安,台北市,大安區大安路一段218號,02-27048829
241193,頂安,台北市,大安區大安路一段67號1樓,02-27787790
232454,敦南,台北市,大安區大安路一段83巷14號1樓,02-27115066
175032,中廣,台北市,大安區仁愛路三段25-1號27號,02-27526751
274160,建綸,台北市,大安區仁愛路四段151巷33號忠孝東路四段216巷32弄19號21號,02-27754237
255387,仁安,台北市,大安區仁愛路四段27巷1號,02-87732749
143253,頂好,台北市,大安區仁愛路四段79號1號,02-87714781
238533,合維,台北市,大安區四維路170巷8號1樓,02-27077030
202017,康福,台北市,大安區永康街12之2號1樓,02-23956851
238500,恆安,台北市,大安區永康街2巷12號1樓,02-23952535
273950,新國聯,台北市,大安區光復南路180巷12號,02-27752026
265155,靜安,台北市,大安區光復南路262號,02-27739618
274171,欣安和,台北市,大安區安和路一段47號,02-87730039
273927,敦安,台北市,大安區安和路一段86號,02-27081857
239732,臨江,台北市,大安區安和路二段67號,02-27844961
901293,立仁,台北市,大安區安和路二段74巷1號,02-27066660
894359,辛亥,台北市,大安區辛亥路二段57號,02-23630291
129350,黎元,台北市,大安區辛亥路三段157巷32號1樓臥龍街188巷1號1樓,02-23778253
285584,和泰,台北市,大安區和平東路一段169號,02-23915933
280176,溫東,台北市,大安區和平東路一段266號,02-23623019
171063,和金,台北市,大安區和平東路一段91號,02-23414965
196316,和樂,台北市,大安區和平東路三段228巷45號1樓,02-27326014
855572,和安,台北市,大安區和平東路三段230號,02-27355311
281146,富陽,台北市,大安區和平東路三段298號300號1樓,02-27373519
242668,和鑫,台北市,大安區和平東路三段38號1樓,02-27326448
128058,技安,台北市,大安區和平東路三段97號97之1號1樓,02-27375613
217271,延吉,台北市,大安區延吉街237號,02-27087348
957285,吉忠,台北市,大安區延吉街72號,02-87725413
963305,義村,台北市,大安區忠孝東路三段160號,02-27312912
996154,鳳翔,台北市,大安區忠孝東路四段216巷68號,02-87710411
232960,統領,台北市,大安區忠孝東路四段223巷9號1樓,02-87734754
265465,鑫忠孝,台北市,大安區忠孝東路四段313號1樓,02-27754406
959122,豐安,台北市,大安區東豐街9號,02-27542996
276638,麟光,台北市,大安區臥龍街252號及252之1號,02-27339761
166739,金華,台北市,大安區金華街140號1樓,02-23914326
167950,東門,台北市,大安區信義路二段198巷6號1樓,02-33224717
155083,鑫復,台北市,大安區信義路三段178號1樓,02-27085803
921633,大信,台北市,大安區信義路三段33號,02-27096471
959155,信中,台北市,大安區信義路三段99號1樓,02-27033810
236973,鑫通,台北市,大安區信義路四段294巷7號1樓,02-27018472
251271,花市,台北市,大安區建國南路一段274號,02-27552540
264266,龍延,台北市,大安區師大路59巷13號,02-23648913
972594,長星,台北市,大安區基隆路三段85號,02-27395493
279671,華電,台北市,大安區通化街177號,02-27329694
214858,通化,台北市,大安區通化街26之8號,02-27083071
251798,臨通,台北市,大安區通安街64號1樓,02-23258043
256519,大安復興,台北市,大安區復興南路一段247號,02-27016916
